"Tritum_MageNewsLink.csv Â© 2013 TRITUM GmbH ( http://www.tritum.de )",""
"Trigger","Trigger"
"Trigger Cron Actions Manually","Trigger Cron Actions Manually"
"Tritum","Tritum"
"MageNewsLink","MageNewsLink"
"Enable Module","Enable Module"
"choose <em>disabled</em> to kill modules functionality","choose <em>disabled</em> to kill modules functionality"
"Enable MageNewsLink Scheduler","Enable MageNewsLink Scheduler"
"Enable MageNewsLink Shell","Enable MageNewsLink Shell"
"choose <em>disabled</em> to disable modules scheduled action for MageNewsLink","choose <em>disabled</em> to disable modules scheduled action for MageNewsLink"
"choose <em>disabled</em> to disable modules shell action for MageNewsLink","choose <em>disabled</em> to disable modules shell action for MageNewsLink"
"default: <pre>*/10 * * * *</pre>","default: <pre>*/10 * * * *</pre>"
"Scheduler Frequency","Scheduler Frequency"
"X-Tritum-Translation-Disabled Tritum Section","Tritum Section"
"Tritum MageNewsLink Section","Tritum MageNewsLink Section"
"Menu Tritum","Menu Tritum"
"Menu Tritum MageNewsLink Manual Trigger","Menu Tritum MageNewsLink Manual Trigger"
"Email Options","Email Options"
"Send Emails To","Send Emails To"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Tritum MageNewsLink Contents","Tritum MageNewsLink Contents"
"Tritum MageNewsLink default Block","Tritum MageNewsLink default Block"
